계정과목,1월,2월,3월,4월,5월,6월
현금 및 현금성자산,"136,549,389","135,391,644","147,170,332","108,030,904","159,328,059","131,906,301"
직영AR,"73,405,299","64,716,372","68,511,497","70,387,773","60,870,066","40,382,635"
대리상AR,"650,263,931","573,292,708","606,911,978","623,533,045","539,220,042","357,731,273"
재고자산,"1,234,525,339","1,365,102,009","1,100,654,910","906,187,974","773,103,560","809,055,444"
선급금(본사),"150,000,000",,,"350,000,000","350,000,000","350,000,000"
선급금(기타),"32,155,902","29,286,160","29,541,250","28,967,808","35,597,018","30,626,993"
기타 유동자산,"68,976,633","71,490,704","68,082,001","64,595,262","63,250,650","65,904,061"
사용권자산,"155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388"
이연법인세자산,"104,548,652","104,548,652","104,548,652","104,548,652","104,548,652","104,548,652"
"유,무형자산","39,897,666","40,071,913","40,246,161","40,420,409","40,594,657","40,768,905"
본사 AP,"446,267,044","300,407,529","113,564,397","69,103,637","60,785,818","269,301,823"
제품 AP,"24,206,894","16,295,026","6,160,081","3,748,393","3,297,209","14,607,757"
차입금,"880,000,000","850,000,000","850,000,000","1,000,000,000","780,000,000","350,000,000"
대리상선수금,"409,270,572","409,270,572","409,375,351","409,375,351","409,375,351","409,551,861"
대리상지원금,"104,796,051","99,796,051","94,796,051","89,796,051","84,796,051","79,796,051"
기타 유동부채,"12,350,491","77,102,293","78,147,722","93,306,501","140,669,175","172,049,126"
"리스부채(장,단기)","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989"
장기보증금,"39,286,222","39,286,222","39,286,222","39,286,222","39,286,222","39,286,222"
자본금,"35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903"
이익잉여금,"540,508,033","558,104,967","540,699,453","558,418,169","574,665,374","562,693,921"
