계정과목,2024년,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,4620292549,"495,841,665","430,358,485","585,933,805","447,057,665","323,904,675","248,429,780","295,905,695","465,318,737","271,461,915","526,110,776","529,120,843","360,198,079"
KIDS,235714666.6,"15,909,434","20,537,910","19,452,060","18,105,751","13,416,512","5,070,744","2,188,241","4,731,956","5,194,795","24,291,326","21,796,266","12,521,961"
Discovery,3409441.77,"1,734,291","1,080,239","2,995,169","3,003,034","1,148,116","2,281,672","617,629","1,513,806","2,998,449","8,630,514","9,521,209","10,514,319"
Duvetica,19892478.71,"2,559,187","1,161,513","1,474,358","749,343","486,325","402,903","107,210","232,400","118,119","466,952","688,994","1,666,963"
Supra,14288800.49,"1,478,293","703,311","254,300","162,176","139,064","93,952","95,957","29,027","115,061","346,630","422,678","33,915"
대리상선금,8027651.51,0,0,0,"5,729,140",0,0,0,0,0,0,0,0
대리상보증금,400000,"200,000","4,985,920",0,"700,000",0,0,0,0,0,0,0,0
정부보조금,36944592.25,"74,047","191,874","52,812","242,685",0,0,"51,071",0,"31,000,000",0,"124,500",0
기타수익,2948849.61,"181,500",0,"619,849","69,695","43,125","423,074","23,472","76,556","51,547","211,250","105,264","119,889"
본사,-2575798652,"-329,820,518","-223,952,728","-78,661,194","-92,459,420","-125,483,774","-203,989,690","-299,536,551","-478,138,439","-366,654,742","-386,440,948","-90,254,773","-315,831,666"
위탁생산,-374099786,"-23,785,240","-73,693,277","-15,469,343","-33,145,394","-12,504,154","-13,041,618","-13,724,595","-49,237,266","-50,966,413","-47,119,326","-25,941,621","-11,362,302"
본사선급금,-770000000,0,0,0,"-350,000,000",0,0,0,0,0,0,"-350,000,000",0
운영비,-1467838870,"-180,618,008","-123,573,034","-175,661,086","-102,764,635","-109,264,422","-101,544,047","-100,043,707","-166,740,856","-109,714,047","-207,038,872","-131,277,730","-111,898,582"
차입금입금,1270000000,"50,000,000","220,000,000",0,"150,000,000",0,"120,000,000","210,000,000","210,000,000","506,000,000","250,000,000","144,000,000","476,000,000"
차입금상환,-940000000,"-40,000,000","-270,000,000","-180,000,000","-200,000,000","-80,000,000","-100,000,000","-50,000,000",0,"-230,000,000","-230,000,000","-100,000,000","-426,000,000"
자산성지출,-50190438.19,"-10,774,511","-5,371,993","-1,896,674","-5,585,116","-1,233,784","-2,829,578","-5,907,748","-4,647,465","-2,552,109","-3,169,473","-4,488,981","-788,584"
