level1,level2,MLB,MLB KIDS,DISCOVERY,,,,,,
Tag매출,대리상,"1,253,704","34,538","2,396",,,,,,
Tag매출,직영,"163,956","19,238","4,070",,,,,,
실판매출,대리상,"562,929","14,506","1,253",,,,,,
실판매출,직영,"132,084","14,516","3,473",,,,,,
매출원가,,"431,653","17,632","2,230",,,,,,
평가감,,"16,784","1,239","5,789",,,,,,
급여(매장),,"3,308",789,185,,,,,,
복리후생비(매장),,"1,865",447,92,,,,,,
플랫폼수수료,,"6,181",496,149,,,,,,
TP수수료,,"6,136",430,403,,,,,,
직접광고비,,"9,090",912,508,,,,,,
대리상지원금,,"18,919","1,415",230,,,,,,
물류비,,"9,785",663,412,,,,,,
매장임차료,,"10,854","2,203",636,,,,,,
감가상각비,,627,185,83,,,,,,
기타(직접비),,942,197,107,,,,,,
급여(사무실),,"6,904",677,"1,211",,,,,,
복리후생비(사무실),,"2,316",208,351,,,,,,
광고비,,"15,573",411,"2,605",,,,,,
수주회,,7058.86841,451.99991,0,,,,,,
지급수수료,,"1,103",148,67,,,,,,
임차료,,1910.92296,0,0,,,,,,
감가상각비(영업비),,379,3,6,,,,,,
세금과공과,,390.76881,0,0,,,,,,
기타(영업비),,270,9,47,,,,,,
