level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(사무실)," 2,002.02 ", 156.30 ," 1,347.88 "," 1,346.12 "," 1,505.05 "," 1,502.47 "," 1,506.56 "," 1,562.73 "," 1,537.54 "," 1,536.58 "," 1,536.07 "
복리후생비(사무실), 345.56 , 348.66 , 335.09 , 359.99 , 385.23 , 444.78 , 429.46 , 420.77 , 407.17 , 407.77 , 446.47 
광고비," 2,320.72 "," 2,317.39 "," 3,099.21 "," 3,236.88 "," 3,028.21 "," 2,212.85 "," 3,162.67 "," 2,001.67 "," 4,489.93 "," 3,452.24 "," 3,351.26 "
수주회, 700.00 , - , - , - , - , - , - , - , 700.00 , - , - 
지급수수료, 20.00 , 188.47 , 159.85 , 254.97 , 109.25 , 152.64 , 92.02 , 187.64 , 84.92 , 159.14 , 45.52 
임차료, - , - , - , - , - , - , - , - , - , - , - 
감가상각비(영업비), - , - , - , - , - , - , - , - , - , - , - 
세금과공과, - , - , - , - , - , - , - , - , - , - , - 
기타(영업비), 21.11 , 142.73 , 104.23 , 218.67 , 68.93 , 132.06 , 46.35 , 223.89 , 66.95 , 56.60 , 55.45 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
