level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(사무실)," 1,077.79 ", 66.66 , 658.84 , 658.84 , 658.84 , 658.84 , 658.84 , 658.84 , 658.84 , 658.84 , 661.77 
복리후생비(사무실), 180.83 , 180.83 , 183.71 , 180.83 , 180.83 , 198.63 , 198.63 , 201.51 , 198.63 , 198.63 , 198.63 
광고비, 835.34 ," 1,943.79 "," 2,121.34 "," 1,924.29 ", 134.29 , 332.33 ," 1,333.79 "," 2,548.29 "," 3,521.34 "," 2,419.34 ", 141.34 
수주회,, 60.00 ,,,, 300.00 ,, 60.00 ,,,
지급수수료,, 17.88 , 17.88 , 17.88 , 96.88 ,,,,,,
임차료,,,,,,,,,,,
감가상각비(영업비), 3.02 , 3.02 , 3.32 , 2.89 , 2.67 , 2.67 , 2.25 , 1.60 , 1.60 , 1.60 , 1.60 
세금과공과,,,,,,,,,,,
기타(영업비), 3.18 , 45.95 , 44.70 , 34.90 , 43.46 , 38.46 , 25.65 , 61.44 , 26.90 , 48.45 , 44.88 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
