계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
현금 및 현금성자산,"186,366,258","103,934,152","140,730,104","138,723,197","119,119,394","125,531,904","110,747,109","111,360,553","144,092,307","141,240,303","132,910,051","140,168,242",
직영AR,"84,280,019","64,085,500","53,785,700","54,341,762","68,650,113","32,220,837","35,867,491","48,072,384","40,827,804","122,430,752","61,386,785","51,999,469",
대리상AR,"801,026,483","790,014,618","832,396,871","609,100,119","324,462,604","189,277,232","306,679,070","413,140,281","694,063,547","764,209,140","478,416,561","436,203,447",
선급금(본사),"150,000,000",,,,"350,000,000","350,000,000","350,000,000","150,000,000",,,"350,000,000","350,000,000",
선급금(기타),"53,239,596","40,361,120","34,983,643","29,410,201","31,440,486","26,470,462","28,741,929","24,704,878","26,725,611","43,110,027","31,318,004","29,181,779",
기타 유동자산,"62,932,593","61,880,301","79,396,820","58,206,436","55,818,327","59,411,374","58,882,691","56,449,314","53,646,441","49,140,620","45,407,036","42,169,891",
사용권자산,"155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388",
이연법인세자산,"108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788",
"유,무형자산","37,503,703","37,290,537","37,077,372","36,864,206","36,651,040","36,437,874","36,224,708","36,011,543","35,798,377","35,585,211","35,372,045","35,158,879",
본사 AP,"589,189,825","317,542,006","180,435,131","135,514,164","272,747,724","206,538,816","368,820,887","314,637,226","192,670,367","155,863,579","131,095,958","266,741,243",
제품 AP,"76,065,746","27,244,038","111,816,203","5,229,152","7,759,840","26,522,170","49,845,304","40,668,230","26,085,767","20,217,168","44,554,128","71,205,627",
차입금,"922,085,078","975,685,078","975,685,078","615,685,078","505,685,078","280,000,000","380,000,000","280,000,000","340,000,000","310,000,000","310,000,000","60,000,000",
대리상선수금,"397,988,252","397,988,252","397,988,252","397,988,252","397,988,252","397,988,252","397,988,252","397,988,252","397,988,252","397,988,252","397,988,252","397,988,252",
대리상지원금,"141,834,587","149,393,379","141,000,468","101,105,322","89,914,009","99,419,771","100,434,783","90,382,367","161,553,010","178,929,612","172,033,141","158,833,709",
기타 유동부채,"156,125,496","46,118,905","48,629,059","116,829,750","12,192,212","163,588,084","352,558,411","186,937,358","202,814,686","194,943,947","123,809,433","113,928,063",
"리스부채(장,단기)","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989","153,383,989",
장기보증금,"37,586,222","37,586,222","37,586,222","37,586,222","37,586,222","37,586,222","37,586,222","37,586,222","37,586,222","37,586,222","37,586,222","37,586,222",
자본금,"35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903","35,630,903",
이익잉여금,"600,079,739","634,799,316","622,288,050","644,583,974","666,516,261","662,584,241","676,190,555","689,802,214","679,613,558","713,113,193","725,738,109","717,898,154",
MLB,"1,239,576,627","1,188,244,557","1,099,709,027","896,345,044","785,222,612","842,186,969","1,188,775,176","979,669,022","826,768,639","653,483,147","615,171,980","553,701,810",
KIDS,"55,866,450","47,943,119","60,288,536","51,710,093","44,441,123","39,886,914","62,288,233","33,647,488","27,683,284","19,088,559","21,350,470","17,256,897",
DISCOVERY,"175,389,932","177,830,008","102,287,106","105,047,572","99,810,615","98,030,706","110,444,723","110,173,122","113,932,568","105,580,930","96,699,027","93,567,572",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,
