계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"7,070,933","4,279,223","1,571,027","8,835,954","841,308","5,630,096","5,640,463","16,765,716","20,816,740","19,481,860","-843,625","8,346,912"
실판매출,"3,294,287","2,314,182","1,079,643","4,031,372","925,216","2,774,378","2,582,471","8,524,056","9,370,606","9,570,343","614,010","4,562,562"
매출원가,"2,696,238","1,609,932","580,357","3,232,379","319,628","2,121,497","2,087,326","6,349,384","7,893,398","7,397,511","-331,236","3,212,252"
평가감,"544,451","491,719","633,954","568,356","1,055,269","1,110,371","1,122,919","1,318,322","1,318,322","1,269,848","1,125,990","-7,234,657"
급여(매장),"162,222","151,613","115,265","159,808","174,685","136,383","148,808","139,551","118,934","152,478","124,095","164,283"
복리후생비(매장),"50,517","37,311","53,532","56,799","91,259","62,226","61,919","117,337","84,203","95,255","87,262","116,170"
플랫폼수수료,"37,575","55,335","49,835","28,809","47,643","15,064","23,444","58,054","166,066","142,732","175,029","116,004"
TP수수료,"129,343","152,810","144,481","129,528","159,104","174,514","126,151","169,449","445,360","429,654","442,679","353,781"
직접광고비,"235,965","598,141","213,908","148,254","244,605","204,795","99,161","253,100","434,825","806,391","448,710","479,759"
대리상지원금,"222,371","108,931","14,346","305,028",0,"356,572","405,568",94459.42,"85,141","1,061,682","308,090","1,134,562"
물류비,"94,544","85,272","128,051","171,880","143,004","135,518","131,125","291,586","487,710","464,912","407,253","340,631"
매장임차료,"363,031","378,190","350,425","506,026","659,118","633,449","639,236","638,295","640,239","639,136","660,511","649,055"
감가상각비,"42,549","42,549","47,674","79,151","77,836","82,367","82,367","82,489","82,617","82,617","82,617","82,617"
기타(직접비),"58,623","104,817","34,839","168,022","84,127","92,223","38,585","109,868","29,212","57,958","249,496","221,044"
급여(사무실),"1,250,243","850,129","1,738,277","1,053,427","765,132","733,358","920,332","1,076,506","975,420","1,101,147","1,056,579","1,159,001"
복리후생비(사무실),"202,521","224,372","240,136","265,802","222,180","210,893","303,025","320,819","303,089","294,277","343,546","424,739"
광고비,"2,040,384","1,483,192","1,521,502","1,747,705","3,452,921","3,444,344","564,071","2,870,926","9,698,905","5,397,475","5,315,980","6,039,447"
수주회,0,490550.52,0,0,0,0,0,0,0,797025.5,0,0
지급수수료,12.41,187194.46,"502,799",204566.15,97016.65,"150,860","503,814",34629.3,34,46453.78,45322.23,"-307,667"
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),4,21,1,534,505,511,504,"4,378","4,386","5,768","5,493","6,044"
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),"57,958","27,822","21,441","31,375","14,265","46,794","119,224","85,820","113,710","81,296","44,405","80,545"
