계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"6,465,698","6,806,356","12,349,774","14,034,876","5,765,859","6,119,986","13,933,901","16,123,299","20,616,453","51,758,483","15,465,499","49,962,142"
실판매출,"4,181,867","3,960,206","6,128,752","6,388,729","3,485,135","3,659,240","6,278,997","8,651,833","9,857,902","25,962,609","8,426,676","23,516,803"
매출원가,"2,229,765","2,252,872","4,432,460","5,051,911","2,109,302","2,184,813","4,390,720","5,103,974","5,717,492","16,942,231","6,091,165","16,396,958"
평가감,"5,789,303","4,985,795","4,541,907","2,591,912","2,429,050","2,428,444","-432,549","-802,057","-911,602","-1,842,297","-1,667,193","-2,137,423"
급여(매장),"185,102","244,335","162,180","183,288","200,993","247,410","209,020","213,722","243,967","298,517","216,431","292,944"
복리후생비(매장),"91,550","89,437","89,437","98,918","89,437","117,441","152,291","128,928","128,928","156,258","128,928","183,693"
플랫폼수수료,"148,703","90,707","93,398","78,293","80,290","134,947","57,420","179,099","242,534","492,679","684,145","737,029"
TP수수료,"402,787","328,516","313,691","287,117","291,533","372,372","260,969","463,686","513,157","691,824","1,129,170","719,581"
직접광고비,"507,997","275,265","387,973","227,443","431,509","377,264","127,232","900,288","610,008","2,673,212","683,873","1,171,321"
대리상지원금,"229,553","281,353","784,462","1,020,024","220,102","238,182","1,001,292","849,678","1,324,198","3,092,526","729,379","3,220,626"
물류비,"411,642","173,932","229,283","283,856","199,268","194,495","317,688","403,476","472,733","1,462,414","471,936","1,304,721"
매장임차료,"636,271","642,456","642,456","642,456","652,967","949,122","949,122","949,122","949,122","949,122","959,101","1,062,081"
감가상각비,"82,617","82,617","82,617","82,617","82,617","118,529","118,529","118,529","118,529","118,529","118,529","161,029"
기타(직접비),"106,653","29,777","73,040","177,672","57,154","269,737","110,899","54,438","190,187","199,128","249,874","261,747"
급여(사무실),"1,211,325","2,002,023","156,300","1,347,883","1,346,124","1,505,045","1,502,473","1,506,557","1,562,725","1,537,539","1,536,584","1,536,074"
복리후생비(사무실),"350,571","345,560","348,656","335,091","359,991","385,234","444,775","429,455","420,766","407,166","407,766","446,466"
광고비,"2,604,835","2,320,720","2,317,389","3,099,215","3,236,884","3,028,215","2,212,845","3,162,666","2,001,666","4,489,931","3,452,236","3,351,261"
수주회,0,"700,000",0,0,0,0,0,0,0,"700,000",0,0
지급수수료,"66,878","20,000","188,470","159,850","254,970","109,250","152,637","92,017","187,637","84,917","159,137","45,517"
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),"6,032",0,0,0,0,0,0,0,0,0,0,0
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),"47,355","21,108","142,733","104,229","218,669","68,931","132,057","46,352","223,886","66,953","56,603","55,446"
