계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"7,818,790","3,621,680","1,405,720","1,975,090","976,650","962,090","1,853,230","476,990","282,620","2,181,630","10,088,300","3,377,160"
실판매출,"2,740,410","1,406,328","601,800","-413,417","396,305","400,381","333,624","191,062","99,144","728,677","1,689,575","969,606"
매출원가,"2,671,937","1,308,611","470,404","449,939","274,974","314,679","639,608","158,047","91,077","744,111","3,540,486","1,158,052"
평가감,"-2,220,751","-1,303,914","-459,011","-450,873","-275,771","-316,921","-654,468","-160,602","-90,520","-744,111","-3,529,935",-1249908.84
급여(매장),"264,547","217,906","139,437","97,584","80,845","93,130","84,932","18,550","26,315","31,653","32,064","29,039"
복리후생비(매장),"69,503","63,791","52,023","31,860","27,170","26,984","11,357","25,799","15,898","15,432","15,562","15,365"
플랫폼수수료,"76,766","17,486","24,647","14,038","12,921","16,177","6,549","7,413","9,082","37,729","93,633","121,626"
TP수수료,"158,307","79,254","85,603","155,577","66,846","74,735","121,671","70,638","99,458","125,083","283,737","180,234"
직접광고비,"151,782","63,498","46,101","26,660","50,261","26,352","26,804","18,194","6,128","88,575","84,721","142,778"
대리상지원금,0,0,0,0,0,0,0,0,0,0,0,0
물류비,"104,177","54,915","118,186","100,294","93,394","91,999","79,271","84,933","77,321","95,001","91,357","109,258"
매장임차료,"1,009,948","1,085,236","737,820","735,467","693,554","663,987","487,798","447,263","445,184","441,010","474,740","455,578"
감가상각비,"181,741","181,741","415,564","105,040","105,040","104,702","35,597","36,541","33,461","33,461","33,461","33,461"
기타(직접비),"88,086","120,962","98,080","43,789","33,291","20,026","121,593","24,676","2,281","9,407","32,588","12,227"
급여(사무실),,,,,,,,,,,,
복리후생비(사무실),,,,,,,,,,,,
광고비,,,,,,,,,,,,
수주회,,,,,,,,,,,,
지급수수료,,,,,,,,,,,,
임차료,,,,,,,,,,,,
감가상각비(영업비),,,,,,,,,,,,
세금과공과,,,,,,,,,,,,
기타(영업비),,,,,,,,,,,,
