계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,70181436,54509144,49861598,39474964,17271033,12949383,30655679,64589304,79759303,51859818,22464148,38820476
실판매출,"31,307,453","23,696,085","21,802,250","17,987,853","10,072,811","6,937,588","13,033,176","25,048,054","31,617,211","23,208,950","11,677,594","18,115,392"
매출원가,"21,067,985","16,429,743","14,991,767","12,028,904","5,430,339","3,958,655","8,131,611","18,049,215","26,994,421","17,676,087","7,914,622","11,474,828"
평가감,"754,332","754,332","754,332","-381,275","-381,275","-381,275","133,214","133,214","357,703","38,993","537,848","2,392,472"
급여(매장),"931,293","841,850","622,191","703,894","737,738","693,103","285,163","401,265","574,717","872,741","525,170","720,077"
복리후생비(매장),"325,148","310,188","363,841","365,404","357,422","349,900","305,935","470,560","445,230","389,339","479,785","399,920"
플랫폼수수료,"369,605","265,439","354,391","328,264","288,539","232,080","113,577","136,195","293,320","445,116","582,755","364,821"
TP수수료,"394,652","267,359","185,103","239,404","244,064","231,010","86,840","103,196","173,982","263,453","433,003","255,832"
직접광고비,"727,542","393,878","531,866","455,185","665,978","358,113","316,975","260,984","384,337","1,389,051","1,327,706","683,019"
대리상지원금,"1,546,112","855,265","683,322","385,180","26,273","91,468","469,285","945,909","-505,276","-282,001","-359,703","-2,215,186"
물류비,"746,936","511,999","712,684","540,476","422,338","308,003","442,333","614,453","691,422","527,692","299,905","552,580"
매장임차료,"2,413,429","1,746,815","1,799,918","1,816,537","1,960,711","1,732,178","1,570,945","1,919,142","1,765,448","2,053,913","1,775,664","2,354,134"
감가상각비,"299,186","301,156","290,703","474,269","303,327","276,264","278,024","318,981","237,751","260,063","255,576","237,177"
기타(직접비),"184,282","82,785","62,451","421,563","248,310","138,544","117,465","256,947","178,761","199,514","177,692","254,084"
급여(사무실),"532,812","907,148","574,363","622,297","548,771","528,716","482,712","606,973","661,730","817,602","655,998","668,945"
복리후생비(사무실),"213,765","125,930","160,898","169,500","160,018","160,747","157,140","219,323","216,474","177,497","204,047","224,266"
광고비,"893,012","119,836","2,010,256","438,010","1,163,749","441,728","306,213","759,130","2,779,827","1,270,649","798,985","244,001"
수주회,0,0,0,0,0,0,347068.24,0,0,0,0,0
지급수수료,0,"100,211",140,121,90,"21,874","59,404",123,"6,141",118,"4,451",99
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),0,"4,296","4,041","4,011","3,936","3,929","3,970","3,948","3,503","3,495","3,463","2,506"
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),"2,481","6,138","10,445","13,353","10,273","13,853","19,423","16,913","19,346","37,290","22,706","47,045"
