계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"1,104,039,680","846,682,749","964,506,958","683,314,469","519,277,124","572,614,454","785,648,138","1,288,078,750","1,245,813,981","1,086,087,530","661,433,297","862,783,820"
실판매출,"486,997,503","352,481,854","405,825,377","293,303,221","248,872,115","256,204,739","335,697,628","534,118,014","510,007,621","476,298,282","299,931,046","381,104,211"
매출원가,"350,299,017","274,028,552","311,641,963","230,835,964","166,890,080","184,393,081","232,889,859","400,072,441","381,617,017","347,708,355","204,052,433","261,957,280"
평가감,"1,563,553","1,148,031","1,464,680","1,416,023","1,428,638","509,805","515,356","3,223,696","3,223,696","4,743,245","4,637,416","-18,953,478"
급여(매장),"5,490,408","2,649,387","2,981,838","2,881,572","3,370,329","2,740,959","2,634,426","2,480,687","2,337,932","3,267,635","2,753,203","2,531,646"
복리후생비(매장),"1,702,403","1,538,876","1,499,201","1,680,422","1,585,155","1,735,922","1,837,364","1,832,607","1,698,146","1,886,975","1,692,442","1,879,581"
플랫폼수수료,"5,035,284","2,630,349","4,183,199","3,814,066","4,493,623","4,132,322","2,318,672","3,008,240","3,537,595","5,377,133","8,484,255","4,780,747"
TP수수료,"5,606,298","2,520,063","3,640,039","3,355,110","4,274,939","3,871,807","2,003,315","2,617,027","3,303,469","8,804,632","9,459,158","3,856,051"
직접광고비,"7,788,551","4,133,037","6,899,956","5,307,718","10,819,953","5,454,605","3,318,994","4,738,605","6,939,836","19,041,113","13,492,654","8,535,292"
대리상지원금,"13,130,461","8,880,439","9,394,312","6,324,085","4,431,738","6,219,464","7,951,278",0,"-681,588","16,317,602","10,673,364","10,250,847"
물류비,"6,863,955","5,602,722","6,771,096","5,498,932","6,296,782","6,008,476","5,538,516","8,339,761","8,253,182","10,307,987","8,800,270","7,126,911"
매장임차료,"13,318,785","10,794,059","10,864,904","9,430,867","10,440,730","8,410,524","7,904,781","8,198,968","8,844,262","10,042,652","9,918,703","10,077,155"
감가상각비,"1,018,610","1,021,613","1,018,577","918,000","1,105,866","956,277","918,691","930,362","903,141","799,867","779,616","695,321"
기타(직접비),"1,278,159","1,031,589","1,525,567","1,517,730","1,188,637","951,699","1,050,227","1,958,805","1,264,094","1,715,171","1,390,004","968,772"
급여(사무실),"11,750,043","6,607,001","997,990","7,189,324","6,697,289","6,752,810","6,848,289","7,146,878","6,513,747","6,710,258","6,681,162","6,294,425"
복리후생비(사무실),"3,983,287","2,477,227","1,989,893","2,157,314","2,899,178","1,766,652","2,207,809","2,377,874","2,323,477","2,317,265","2,279,236","3,091,016"
광고비,"14,248,158","11,935,896","12,295,920","8,443,130","9,835,568","7,943,166","7,798,464","15,096,421","24,676,435","10,408,800","9,854,456","15,890,856"
수주회,"5,786,997",0,"71,222",0,0,0,"5,810,606",0,"298,933",0,0,0
지급수수료,"1,128,166","1,276,479","2,396,520","1,703,962","2,396,312","1,226,895","1,917,610","1,627,425","1,084,324","1,846,782","1,643,357","1,772,872"
임차료,"1,675,018","1,677,627","1,675,606","1,522,455","1,425,987","1,434,974","1,900,112","1,917,141","1,908,984","1,915,485","1,915,497","1,912,762"
감가상각비(영업비),"349,865","349,883","356,739","358,947","330,236","339,701","443,939","459,053","446,425","455,963","366,927","385,008"
세금과공과,"1,322,238","1,577,221","217,216","170,315","1,026,098","196,394","773,838","401,935","375,853","1,830,669","1,603,523","-1,187,987"
기타(영업비),"239,170","220,409","257,469","328,006","263,367","232,834","324,691","289,635","346,729","206,608","376,925","370,764"
