계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,3992497,4437413,3457902,-1524298,2167082,-2233875,-3196779,-2699645,-2193155,-663643,-1241238,3143446
실판매출,1757847.36,1838708.06,1517752.95,-383060.8,972930.01,-610522.37,-981390.3,-853136.42,"-640,653","116,517","-249,881","1,248,079"
매출원가,1319386.68,1366002.66,608135.59,-985061.58,625970.9,-632947.13,-1058084.2,-857204.3,"-344,667","99,228","-299,069","984,882"
평가감,0,0,0,0,0,0,0,4165929.07,5379416.478,4519339.952,4684334.626,4402184.217
급여(매장),107080.36,99136.41,111502.28,94493.69,123221.64,143792.15,195358.58,235247.87,225450.04,273528.9,"257,789","275,204"
복리후생비(매장),28398.69,36154.1,33629.51,33950.92,55784.09,70378.3,57927.68,125701.08,130848.6,101316.54,"105,841","98,871"
플랫폼수수료,5685.98,5265.26,6965.92,-103.21,1513.64,1050.49,476.87,691.16,480,"2,837","8,563","9,739"
TP수수료,105635.89,105595.13,131538.25,77366.95,101812.43,101609.79,98005.04,98554.11,"97,319","101,819","108,964","107,282"
직접광고비,221490.7,40966.12,62565.8,22943.9,37931.23,67668.68,19671.18,12017.62,"12,111","51,416","33,741","50,367"
대리상지원금,0,0,0,0,0,0,0,0,0,0,0,"-5,707"
물류비,89197.42,66387.9,156291.17,138646.92,90132.61,132121.69,176323.75,168485.5,38614.66,"48,037","51,910","65,322"
매장임차료,311468.23,301801.33,311369.68,346479,407782.95,401440.5,705919.15,664476.25,888430.96,855700.78,"898,130","901,692"
감가상각비,48278.75,48278.75,48278.74,48278.74,67095.45,77019.12,120060.08,120492.74,141328.84,141328.82,"121,117","140,967"
기타(직접비),218031.21,5442.62,18968.55,104327.48,101079.82,46563.28,120686.43,84176.95,103268.64,"-7,696","21,438","180,394"
급여(사무실),247501.96,326507.64,242901.77,202765.24,210938.51,192245.27,220404.97,205418.86,"168,262","178,138","181,655","113,325"
복리후생비(사무실),61004.53,70148.37,55384.23,53222.96,54890.96,52949.86,60354.25,48134.57,42904.12,43489.99,45852.96,"25,447"
광고비,120036.83,1536553.34,63763.5,778119.8,81466.77,117853.6,0,189416.06,381751.13,"80,002",0,10.68
수주회,0,241911.15,0,0,0,0,0,0,0,0,0,0
지급수수료,50005.96,200022.27,9.26,157997.18,68813.99,49996.48,19992.47,-4.22,-3,38500.26,-1.67,5.86
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),0,941.82,930.45,913.71,950.88,914.82,1546.05,1552.48,1553.77,1556.68,1554.05,1558.04
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),40468.13,6687.75,5840.92,5795.94,2347.81,10966.81,7456.84,3131.84,"3,349",594.79,1180.67,177.32
