,,대리상 명칭, 외상매출금 , 선수금 
8000015,上海凌博商贸有限公司,"Shanghai Lingbo Trading Co., Ltd.",152281161,48804371
8000003,常春藤(广州)投资有限公司,"Ivy (Guangzhou) Investment Co., Ltd.",56868472,14496383
8000030,哈尔滨麟嘉商贸有限公司,"Harbin Linjia Trading Co., Ltd.",60824811,20192021
8000007,杭州宇振商业有限公司,"Hangzhou Yuzhen Commercial Co., Ltd.",53263354,29630102
8000183,北京鑫聚盛业服装服饰有限公司,"Beijing Xinjushengye Apparel Co., Ltd.",39519791,16706967
8000028,河南金安芯商贸有限公司,"Henan Jin’anxin Trading Co., Ltd.",29670073,11106543
8000009,成都市宝康服饰商贸有限公司,"Chengdu Baokang Apparel Trading Co., Ltd.",33415280,15974301
8000027,沈阳固孚固贸易有限公司,"Shenyang Gufugu Trading Co., Ltd.",28482991,12793995
8000413,山东德峻丰品牌管理有限公司,"Shandong Dejunfeng Brand Management Co., Ltd.",29353797.77,17846656
8000023,山西凌皓国际贸易有限公司,"Shanxi Linghao International Trading Co., Ltd.",21593562,10102230
8000017,沈阳瑞元禾商贸有限公司,"Shenyang Ruiyuanhe Trading Co., Ltd.",17077932,6432771
8000011,江西朝明潮贸易有限公司,"Jiangxi Chaoming Trend Trading Co., Ltd.",16078463,5746133
8000001,深圳市普洛狮贸易有限公司,"Shenzhen Puluoshi Trading Co., Ltd.",17424076,8352044
8000060,江苏骏溪网络科技有限公司,"Jiangsu Junxi Network Technology Co., Ltd.",26425570,17627810
8000180,内蒙古旭雅商贸有限公司,"Inner Mongolia Xuya Trading Co., Ltd.",14921425,6665005
8000181,长沙市珀御商贸有限公司,"Changsha Poyu Trading Co., Ltd.",19567723,11388003
8000018,华初壹通国际贸易有限公司,"Huachu Yitong International Trading Co., Ltd.",18185246,11157831
8000034,北京晶睿贸易发展有限公司,"Beijing Jingrui Trading Development Co., Ltd.",21757538,15306842
8000002,深圳有盈贸易有限公司,"Shenzhen Youying Trading Co., Ltd.",10283934,5256140
8000021,新疆莘三石商贸有限公司,"Xinjiang Xin Sanshi Trading Co., Ltd.",7285153,3338962
8000006,重庆渲格商贸有限公司,"Chongqing Xuan’ge Trading Co., Ltd.",11304394,7599792
8000121,星羽宏文（沈阳）商贸有限公司,"Xingyuhongwen (Shenyang) Trading Co., Ltd.",6292543.63,2730333
8000029,西安纳霁动力商贸有限公司,"Xi’an Najidongli Trading Co., Ltd.",11614872,8072070
8000270,南宁市菲诺电子科技有限公司,"Nanning Feinuo Electronic Technology Co., Ltd.",8316497,5300982.01
8000010,成都莱恒商贸有限公司,"Chengdu Laiheng Trading Co., Ltd.",4907551,1944027
8000026,武汉摩顶贸易有限公司,"Wuhan Moding Trading Co., Ltd.",16701310,14498146
8000005,厦门时韫商贸有限公司,"Xiamen Shiyun Trading Co., Ltd.",8729472,7197908
8000310,北京绮妙科技有限公司,"Beijing Qimiao Technology Co., Ltd.",4431631,2950424.93
8000004,厦门百轮服饰有限公司,"Xiamen Bailun Apparel Co., Ltd.",6352164,4993762
8000019,北京嘉尚国际时装有限公司,"Beijing Jiashang International Fashion Co., Ltd.",12454596,11238062
8000033,北京潮流贸易有限公司,"Beijing Trend Trading Co., Ltd.",2823096,1840404
8000385,云南恒磐商贸有限公司,"Yunnan Hengpan Trading Co., Ltd.",8873983,7979251.66
8000232,孚瑞达（沈阳）贸易有限公司,"Furida (Shenyang) Trading Co., Ltd.",704145,0
8000276,山西颖璇贸易有限公司,"Shanxi Yingxuan Trading Co., Ltd.",350003,0
8000237,丰晟（广州）品牌管理有限公司,"Fengsheng (Guangzhou) Brand Management Co., Ltd.",164337.3,0
8000421,乌鲁木齐雏鹰浩涵商贸有限公司,"Urumqi Chuying Haohan Trading Co., Ltd.",129348,133575
8000233,武汉顶尚贸易有限公司,"Wuhan Dingshang Trading Co., Ltd.",-30259,0
8000059,杭州优溜网络技术有限公司,"Hangzhou Youliu Network Technology Co., Ltd.",604629,653396
8000155,北京蓝梦宇其贸易有限公司,"Beijing Lanmeng Yuqi Trading Co., Ltd.",477587,581656
8000189,万辰嘉运（北京）服饰有限公司,"Wanchen Jiayun (Beijing) Apparel Co., Ltd.",0,140972.84
8000277,长春恩禾品牌管理有限公司,"Changchun Enhe Brand Management Co., Ltd.",-290885.17,0
8000280,江苏幸运叶子数字科技有限公司,"Jiangsu Lucky Leaf Digital Technology Co., Ltd.",117693,606224.03
8000014,依梵(上海)品牌管理有限公司,"Yifan (Shanghai) Brand Management Co., Ltd.",17927328,18870456
8000187,江苏苏豪国际集团股份有限公司,"Jiangsu Soho International Group Co., Ltd.",3790093,7888859
